Latin America,Brazil,Biz Latin Hub,David,Inactive,Local EOR ,,,,,,,USD $950 or 13% of total monthly employee cost (whichever is greater) per Employee,USD 135,3 x monthly total employee cost        ,USD 135,17% on total invoice,,,Direct Entity,Terminated,craig@bizlatinhub.com,Craig Dempsey,"5 June, 2026",Inactive,https://docs.google.com/spreadsheets/d/1fnqBZQEM3l1NN2d2Q4gYZmoROuNuXW8dau4BnptpfRc/edit,"June 10, 2026",Tier 0
Latin America,Brazil,Wide Brazil People,Jasmine,Preferred Vendor,Local EOR ,USD 550 - 650,USD 0 - equivalent of service fee,1 month,"• Termination will have an FGTS fine, around one month's salary",14.38% of the total invoice,,USD 399,N/A,1 month,"• Termination will have an FGTS fine, around one month's salary",14.38% of the total invoice,,WBP,Direct Entity,Active,jose.roberto@widebrazil.com,Jose Roberto Araujo Filho,"31 December, 2026",Active,,,
Latin America,Brazil,Rivermate,David,,Local EOR ,,,,,,,"USD 250 

10% Service Fee on
• Insurance
• Expense Reimbursement

Out-of-cycle fee: USD 100",USD 100,1 month,N/A,,Bank Fee per Invoice: USD 69. 2.5% FX charge on Total Invoice ,SER,Direct Entity,,bassem.benhassine@hightekers.com	,Bassem Ben Hassine ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1Hfh8owhyByJDd1SgekqltEc28d-fqYQBKrW9-h8co_w/edit,"July 15, 2026",
Latin America,Brazil,Rivermate,David,,Expat EOR,,,,,,,"USD 550

10% Service Fee on
• Insurance
• Expense Reimbursement

Out-of-cycle fee: USD 100",USD 300,1 month,N/A,,Bank Fee per Invoice: USD 69,SER,Direct Entity,,bassem.benhassine@hightekers.com	,Bassem Ben Hassine ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1Hfh8owhyByJDd1SgekqltEc28d-fqYQBKrW9-h8co_w/edit,"July 15, 2026",
Latin America,Brazil,Enterprise Workforce Solutions,David,Backup Vendor,Local EOR ,,,,,,,USD 375,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,"July 15, 2026",
Latin America,Brazil,Enterprise Workforce Solutions,David,Backup Vendor,Expat EOR,,,,,,,USD 450,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,"July 15, 2026",
Latin America,Brazil,Horizons,David,Backup Vendor,Local EOR ,,,,,,,USD 299,N/A,1 month,N/A,N/A,,HRZ,Direct Entity,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,"July 15, 2026",
Latin America,Brazil,Horizons,David,Backup Vendor,Expat EOR,,,,,,,USD 449,N/A,1 month,N/A,"for expatriates, VAT may apply depending on the local regulations.",,HRZ,Direct Entity,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,"July 15, 2026",
Latin America,Brazil,Remote,David,Preferred Vendor,Local EOR ,USD 450 - 550,USD 0 - 250,1 month,"Involuntary Termination: USD 500 (termination initiated by client, not by resignation or natural contract expiration)",N/A,"• USD 200 right-to-work check mandatory for all expats (even self-sponsored)
• USD 500 immigration assessment fee for visa sponsorship feasibility check",USD 300,N/A,N/A,Involuntary Termination: USD 350,N/A,"• USD 120 right-to-work check mandatory for all expats (even self-sponsored)
• USD 400 immigration assessment fee for visa sponsorship feasibility check",RMT,Direct Entity,Signed MSA,"jasmine.chang@remote.com ,aisha.saeed@remote.com, ena.hazrolaj@remote.com","Jasmine Chang (Customer Success Manager), Aisha Saeed, Ena Hazrolaj  (Account Manager)","31 December, 2026",Pricing in Contract,,,
Latin America,Brazil,Native Teams,Jasmine,Poor Quality Vendor,Local EOR ,,,,,,,"• EUR 79 up to €1,500 processed per month
• EUR 129 up to €5,500 processed per month
• EUR 219 over €5,500 processed per month",N/A,N/A,N/A,N/A,"• Vendor could sponsor expat, case by case so need to check eligibility with the vendor first before saying yes to the client ",NTV,Direct Entity,Signed MSA,deren@nteams.com,Deren Kankurt,"31 December, 2026",Pricing in Contract,,,Tier 2
Latin America,Brazil,López & James,David,,PEO,,,,,,,8% (the enterprises would have to be incorporated),- Employment contract & social security affiliations: 500 USD per employee,2 months gross salary ,N/A,$0,,,Uses Vendor,,lmarquez@lopezjames.com,Laura Márquez,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1W0gu9xPlPGcaiHU4MFMQd3PIphKpsTU4vd0TdD6Ec_0/edit,"July 15, 2026",
Asia,Brunei,Acumen International,David,,Local EOR ,,,,,,,"13% min USD 1300, whichever is higher","USD 1000
",1 month TEC,USD 1000,,"• Fee for 1+ headcount link
• Have active projects in Brunei",ACU,Uses Vendor,,dk@expressglobalemployment.com,Dmitriy Koshkin,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1HeKcblPyUO2DwJwno5SjL9NJOoixJYVzm2pn_KHQw-Y/edit,7/15/2026,Tier 2
Asia,Brunei,WeHG,David,,Local EOR ,,,,,,,USD 800,"USD 800, termination fees waived for placements over 6 months",1-month deposit of total employment costs and service fees,USD 800,,• WeHG might be using EOS for Brunei (Jasmine's guess),,Unknown,,kate@wehireglobally.com,Kate Phillips,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1ZOPd_KWg_olhEkqtjzIFGwyNFgAGEMiwRH4OyZbZ_Ak/edit,7/15/2026,
Asia,Brunei,WeHG,David,,Expat EOR,,,,,,,"USD 1,100","USD 800, termination fees waived for placements over 6 months",1-month deposit of total employment costs and service fees,USD 800,,• WeHG might be using EOS for Brunei (Jasmine's guess),,Unknown,,kate@wehireglobally.com,Kate Phillips,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1ZOPd_KWg_olhEkqtjzIFGwyNFgAGEMiwRH4OyZbZ_Ak/edit,7/15/2026,
Asia,Brunei,Rivermate,David,Preferred Vendor,Local EOR ,USD 650 - 750,USD 650 - 750,1 month TEC,N/A,10% on all service fees,,USD 500,USD 500,1 month TEC,N/A,10% on all service fees,,EOS,Direct Entity,Signed MSA,tim.denney@eosglobalexpansion.com,Tim Denney,"31 December, 2026",Active,,,Tier 2
Asia,Brunei,Rivermate,David,Preferred Vendor,Expat EOR,USD 850 - 950 ,USD 650 - 750,1 month TEC,N/A,10% on all service fees,,USD 700,USD 500,1 month TEC,N/A,10% on all service fees,,EOS,Direct Entity,Signed MSA,tim.denney@eosglobalexpansion.com,Tim Denney,"31 December, 2026",Active,,,Tier 2
Europe,Bulgaria,Bradford Jacobs,Jasmine,Backup Vendor,Local EOR ,,,,,,,EUR 500,EUR 500,1 month,N/A,,"• Use TopSource as vendor, but pricing is partner pricing, so will get lower quotation than from TopSource directly",BFJ,Uses Vendor,,k.nolan@bradfordjacobs.com,Kelly Nolan,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1qcQBw7034L9B0NSXOC38XkMU1wg2eROqWYyMtiobk-M/edit,7/15/2026,
Europe,Bulgaria,Native Teams,Jasmine,Poor Quality Vendor,Local EOR ,,,,,,,"• EUR 79 up to €1,500 processed per month
• EUR 129 up to €5,500 processed per month
• EUR 219 over €5,500 processed per month",N/A,N/A,N/A,N/A,"• Vendor could sponsor expat, case by case so need to check eligibility with the vendor first before saying yes to the client",NTV,Direct Entity,Signed MSA,deren@nteams.com,Deren Kankurt,"31 December, 2026",Pricing in Contract,,,Tier 2
Europe,Bulgaria,Native Teams,Jasmine,Poor Quality Vendor,Expat EOR,,,,,,,"• EUR 179 up to €1,500 processed per month
• EUR 229 up to €5,500 processed per month
• EUR 319 over €5,500 processed per month",N/A,N/A,N/A,N/A,,NTV,Direct Entity,Signed MSA,deren@nteams.com,Deren Kankurt,"31 December, 2026",Pricing in Contract,,,Tier 2
Europe,Bulgaria,Enterprise Workforce Solutions,David,Preferred Vendor,Local EOR ,USD 525 - 625,USD 0 - 250 ,1 month,N/A,N/A,,USD 375,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,7/15/2026,
Europe,Bulgaria,Enterprise Workforce Solutions,David,Backup Vendor,Expat EOR,,,,,,,USD 450,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,"July 15, 2026",
Europe,Bulgaria,Horizons ,David,Backup Vendor,Local EOR ,,,,,,,USD 399,N/A,1 month,N/A,N/A,,HRZ,Direct Entity,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,"July 15, 2026",
Europe,Bulgaria,Remote,David,Preferred Vendor,Local EOR ,USD 450 - 550,USD 0 - 250,1 month,"Involuntary Termination: USD 500 (termination initiated by client, not by resignation or natural contract expiration)",N/A,"• USD 200 right-to-work check mandatory for all expats (even self-sponsored)
• USD 500 immigration assessment fee for visa sponsorship feasibility check",USD 300,N/A,N/A,Involuntary Termination: USD 350,N/A,"• USD 120 right-to-work check mandatory for all expats (even self-sponsored)
• USD 400 immigration assessment fee for visa sponsorship feasibility check",RMT,Direct Entity,Signed MSA,"jasmine.chang@remote.com ,aisha.saeed@remote.com, ena.hazrolaj@remote.com","Jasmine Chang (Customer Success Manager), Aisha Saeed, Ena Hazrolaj  (Account Manager)","31 December, 2026",Pricing in Contract,,,
Europe,Bulgaria,Go Global,Jasmine,Poor Quality Vendor,Local EOR ,,,,,,,"CNY 2,750","CNY 2,750",,"CNY 2,750",,,,Unknown,,sissi.zhao@goglobalgeo.com,Sissi Zhao,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1VimvcvPQCviW6ntJhvkOIi9BlgDLgwA-9wVVcwuHHZ0/edit,"July 15, 2026",
Asia,Bulgaria,Acvian,David,Backup Vendor,Local EOR,,,,,,,"• EUR 375
• 6% on bonus and reimbursement",N/A,1 month invoice,N/A,N/A,,ACV,Direct Entity,Signed MSA,a.zakharov@acvian.com,Anthony Zakharov,"4 June, 2027",Active,,,Tier 2
Asia,Bulgaria,Acvian,David,Preferred Vendor,Local EOR,SGD 600 - 700,USD 0 - equivalent of service fee,1 month,N/A,N/A,,"• EUR 375
• 6% on bonus and reimbursement",N/A,1 month invoice,N/A,N/A,,ACV,Direct Entity,,a.zakharov@acvian.com,Anthony Zakharov,"4 June, 2027",Active,https://docs.google.com/spreadsheets/d/1v8hqm0zO5cDgfVn00wIGynQiohce5uwmBwXgNFXVrGU/edit,"June 4, 2026",Tier 2
Africa,Burkina Faso,Workforce Africa,David,Backup Vendor,Local EOR ,,,,,,,USD 450,USD 200,N/A,USD 200,TBC,"• Pricing valid until December 31st, 2030",WFA,Uses Vendor,Signed MSA,justina.gabriel@workforcegroup.com,Justina Gabriel,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/13pdolFV6P_EBVi5xsPKvdXzW76jB60buVkpZYMEoxJk/edit,7/15/2026,
Africa,Burkina Faso,Workforce Africa,David,Backup Vendor,Expat EOR,,,,,,,USD 500,USD 200,N/A,USD 200,TBC,"• Pricing valid until December 31st, 2031",WFA,Uses Vendor,Signed MSA,justina.gabriel@workforcegroup.com,Justina Gabriel,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/13pdolFV6P_EBVi5xsPKvdXzW76jB60buVkpZYMEoxJk/edit,7/15/2026,
Africa,Burkina Faso,Workpay ,David,Preferred Vendor,Local EOR ,USD 470 - 570,USD 0 - equivalent of service fee,1 month salary,N/A,TBC,,USD 320,N/A,1 month Salary ,N/A,,,WKP,Direct Entity,Established Contact," fn@myworkpay.com,
 zn@myworkpay.com","Frances Nzekwue, Ziphozihle Ntlakaza","5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1w0jqjlb9vUL_Lb7NHP45wKJcnWeX_D_--e6xf_W6ypc/edit,7/15/2026,Tier 2
Africa,Burkina Faso,Workpay ,David,Preferred Vendor,Expat EOR,USD 470 - 570,USD 0 - equivalent of service fee,1 month salary,N/A,TBC,,USD 320,N/A,1 month Salary ,N/A,,,WKP,Direct Entity,Established Contact," fn@myworkpay.com,
 zn@myworkpay.com","Frances Nzekwue, Ziphozihle Ntlakaza","5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1w0jqjlb9vUL_Lb7NHP45wKJcnWeX_D_--e6xf_W6ypc/edit,7/15/2026,Tier 2
Africa,Burkina Faso,Remote Solutions Africa ,David,Backup Vendor,Local EOR ,"USD 420 - 520
Reimbursement Fee: 5% of amount",USD 0 - 400,1 month,N/A,7.5 % of the service fee,,USD 250,N/A,N/A,N/A,7.5 % of the service fee,We don't charge deposit as long as we receive the invoice payment on the 20th of each month//Reimbursement Fee: 4% of the total reimbursement //  20 USD bank transfer fee,RSA,Uses Vendor,Established Contact,moses.a@remotesolutionsafrica.com,Moses,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1-0VoGr6iIfXVV0l8SqaHo0p-ZCELZEMJiFpvK7R1zmQ/edit,7/15/2026,
Africa,Burkina Faso,Remote Solutions Africa ,David,Backup Vendor,Expat EOR,"USD 470 - 570
Reimbursement Fee: 5% of amount",USD 0 - 400,1 month,N/A,7.5 % of the service fee,,USD 300,N/A,N/A,N/A,7.5 % of the service fee,We don't charge deposit as long as we receive the invoice payment on the 20th of each month//Reimbursement Fee: 4% of the total reimbursement //  20 USD bank transfer fee,RSA,Uses Vendor,Established Contact,moses.a@remotesolutionsafrica.com,Moses,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1-0VoGr6iIfXVV0l8SqaHo0p-ZCELZEMJiFpvK7R1zmQ/edit,7/15/2026,
Africa,Burundi,Workforce Africa,David,Backup Vendor,Local EOR ,,,,,,,USD 450,USD 200,N/A,USD 200,18% on service fee,"• Pricing valid until December 31st, 2032",WFA,Uses Vendor,Signed MSA,justina.gabriel@workforcegroup.com,Justina Gabriel,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/13pdolFV6P_EBVi5xsPKvdXzW76jB60buVkpZYMEoxJk/edit,7/15/2026,
Africa,Burundi,Workforce Africa,David,Backup Vendor,Expat EOR,,,,,,,USD 550,USD 200,N/A,USD 200,18% on service fee,"• Pricing valid until December 31st, 2033",WFA,Uses Vendor,Signed MSA,justina.gabriel@workforcegroup.com,Justina Gabriel,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/13pdolFV6P_EBVi5xsPKvdXzW76jB60buVkpZYMEoxJk/edit,7/15/2026,
Africa,Burundi,Workpay ,David,Preferred Vendor,Local EOR ,USD 470 - 570,USD 0 - equivalent of service fee,1 month salary,N/A,TBC,,USD 320,N/A,1 month Salary ,N/A,,,WKP,Direct Entity,Established Contact," fn@myworkpay.com,
 zn@myworkpay.com","Frances Nzekwue, Ziphozihle Ntlakaza","5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1w0jqjlb9vUL_Lb7NHP45wKJcnWeX_D_--e6xf_W6ypc/edit,7/15/2026,Tier 2
Africa,Burundi,Workpay ,David,Preferred Vendor,Expat EOR,USD 470 - 570,USD 0 - equivalent of service fee,1 month salary,N/A,TBC,,USD 320,N/A,1 month Salary ,N/A,,,WKP,Direct Entity,Established Contact," fn@myworkpay.com,
 zn@myworkpay.com","Frances Nzekwue, Ziphozihle Ntlakaza","5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1w0jqjlb9vUL_Lb7NHP45wKJcnWeX_D_--e6xf_W6ypc/edit,7/15/2026,Tier 2
Africa,Burundi,Remote Solutions Africa ,David,Backup Vendor,Local EOR ,"USD 420 - 520
Reimbursement Fee: 5% of amount",USD 0 - 400,1 month,N/A,7.5 % of the service fee,,USD 250,N/A,N/A,N/A,7.5 % of the service fee,We don't charge deposit as long as we receive the invoice payment on the 20th of each month//Reimbursement Fee: 4% of the total reimbursement //  20 USD bank transfer fee,RSA,Uses Vendor,Established Contact,moses.a@remotesolutionsafrica.com,Moses,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1-0VoGr6iIfXVV0l8SqaHo0p-ZCELZEMJiFpvK7R1zmQ/edit,7/15/2026,
Africa,Burundi,Remote Solutions Africa ,David,Backup Vendor,Expat EOR,"USD 470 - 570
Reimbursement Fee: 5% of amount",USD 0 - 400,1 month,N/A,7.5 % of the service fee,,USD 300,N/A,N/A,N/A,7.5 % of the service fee,We don't charge deposit as long as we receive the invoice payment on the 20th of each month//Reimbursement Fee: 4% of the total reimbursement //  20 USD bank transfer fee,RSA,Uses Vendor,Established Contact,moses.a@remotesolutionsafrica.com,Moses,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1-0VoGr6iIfXVV0l8SqaHo0p-ZCELZEMJiFpvK7R1zmQ/edit,7/15/2026,
Asia,Cambodia,Horizons ,David,Backup Vendor,Local EOR ,,,,,,,USD 199,N/A,1 month,N/A,N/A,,HRZ,Uses Vendor,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,7/15/2026,
Asia,Cambodia,Horizons ,David,Backup Vendor,Expat EOR,,,,,,,USD 449,N/A,1 month,N/A,"for expatriates, VAT may apply depending on the local regulations.",,HRZ,Uses Vendor,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,7/15/2026,
Asia,Cambodia,Acclime,Jasmine,Preferred Vendor,Local EOR ,"(Gross salary * 12%) + (USD 150 - 250) - for salary lower than USD 1,666","USD 650 the first time, and then USD 200 for every new onboarding",2 month,"Resignation - USD 100
Termination - USD 200",10% VAT applied to the entire invoice,,12% min USD 200,"USD 500 the first time, and then USD 40 for every new employee onboarded",2 month,"Resignation - USD 40
Termination - USD 100",10% VAT applied to the entire invoice,,MYW,Direct Entity,,h.lin@acclime.com,Hsu Yee Lin,"31 May, 2031",Active,https://docs.google.com/spreadsheets/d/1z2rSXIAdaKgzg0WWxydWxcvZDMuD0uNooToa8rMW4-A/edit,6/4/2026,
Asia,Cambodia,Acclime,Jasmine,Preferred Vendor,Expat EOR,"(Gross salary * 15%) + (USD 150 - 250), minimum USD 750 - for salary lower than USD 4,333","USD 650 the first time, and then USD 200 for every new onboarding",2 month,"Resignation - USD 100
Termination - USD 200",10% VAT applied to the entire invoice,,15% min USD 650,"USD 500 the first time, and then USD 40 for every new employee onboarded",2 month,"Resignation - USD 40
Termination - USD 100",10% VAT applied to the entire invoice,,MYW,Direct Entity,,h.lin@acclime.com,Hsu Yee Lin,"31 May, 2031",Active,https://docs.google.com/spreadsheets/d/1z2rSXIAdaKgzg0WWxydWxcvZDMuD0uNooToa8rMW4-A/edit,6/4/2026,
Africa,Cameroon,Workforce Africa,David,Backup Vendor,Local EOR ,,,,,,,USD 450,USD 200,N/A,USD 200,19.25% on total invoice,"• Pricing valid until December 31st, 2034",WFA,Uses Vendor,Signed MSA,justina.gabriel@workforcegroup.com,Justina Gabriel,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/13pdolFV6P_EBVi5xsPKvdXzW76jB60buVkpZYMEoxJk/edit,7/15/2026,
Africa,Cameroon,Workforce Africa,David,Backup Vendor,Expat EOR,,,,,,,USD 500,USD 200,N/A,USD 200,19.25% on total invoice,"• Pricing valid until December 31st, 2035",WFA,Uses Vendor,Signed MSA,justina.gabriel@workforcegroup.com,Justina Gabriel,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/13pdolFV6P_EBVi5xsPKvdXzW76jB60buVkpZYMEoxJk/edit,7/15/2026,
Africa,Cameroon,Horizons ,David,Backup Vendor,Local EOR ,,,,,,,USD 399,N/A,1 month,N/A,N/A,,HRZ,Uses Vendor,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,7/15/2026,
Africa,Cameroon,Workpay ,David,Preferred Vendor,Local EOR ,USD 470 - 570,USD 0 - equivalent of service fee,1 month salary,N/A,TBC,,USD 320,N/A,1 month Salary ,N/A,,,WKP,Direct Entity,Established Contact," fn@myworkpay.com,
 zn@myworkpay.com","Frances Nzekwue, Ziphozihle Ntlakaza","5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1w0jqjlb9vUL_Lb7NHP45wKJcnWeX_D_--e6xf_W6ypc/edit,7/15/2026,Tier 2
Africa,Cameroon,Workpay ,David,Preferred Vendor,Expat EOR,USD 470 - 570,USD 0 - equivalent of service fee,1 month salary,N/A,TBC,,USD 320,N/A,1 month Salary ,N/A,,,WKP,Direct Entity,Established Contact," fn@myworkpay.com,
 zn@myworkpay.com","Frances Nzekwue, Ziphozihle Ntlakaza","5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1w0jqjlb9vUL_Lb7NHP45wKJcnWeX_D_--e6xf_W6ypc/edit,7/15/2026,Tier 2
Africa,Cameroon,Remote Solutions Africa ,David,Backup Vendor,Local EOR ,"USD 420 - 520
Reimbursement Fee: 5% of amount",USD 0 - 400,1 month,N/A,7.5 % of the service fee,,USD 250,N/A,N/A,N/A,7.5 % of the service fee,We don't charge deposit as long as we receive the invoice payment on the 20th of each month//Reimbursement Fee: 4% of the total reimbursement //  20 USD bank transfer fee,RSA,Uses Vendor,Established Contact,moses.a@remotesolutionsafrica.com,Moses,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1-0VoGr6iIfXVV0l8SqaHo0p-ZCELZEMJiFpvK7R1zmQ/edit,7/15/2026,
Africa,Cameroon,Remote Solutions Africa ,David,Backup Vendor,Expat EOR,"USD 470 - 570
Reimbursement Fee: 5% of amount",USD 0 - 400,1 month,N/A,7.5 % of the service fee,,USD 300,N/A,N/A,N/A,7.5 % of the service fee,We don't charge deposit as long as we receive the invoice payment on the 20th of each month//Reimbursement Fee: 4% of the total reimbursement //  20 USD bank transfer fee,RSA,Uses Vendor,Established Contact,moses.a@remotesolutionsafrica.com,Moses,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1-0VoGr6iIfXVV0l8SqaHo0p-ZCELZEMJiFpvK7R1zmQ/edit,7/15/2026,
North America,Canada,Bradford Jacobs,Jasmine,,Local EOR ,,,,,,,EUR 500,EUR 500,1 month,N/A,,"• Use TopSource as vendor, but pricing is partner pricing, so will get lower quotation than from TopSource directly",BFJ,Uses Vendor,,k.nolan@bradfordjacobs.com,Kelly Nolan,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1qcQBw7034L9B0NSXOC38XkMU1wg2eROqWYyMtiobk-M/edit,7/15/2026,
North America,Canada,the Payroll Edge,Jasmine,Backup Vendor,Local EOR ,,,,,,,5%,N/A,N/A,N/A,N/A,12/22/2025,TPE,Direct Entity,Active,marina.hsu@people20.com,Marina Hsu,,Inactive,,,Tier 0
North America,Canada,Procorre,David,,Expat EOR,,,,,,,USD 850,N/A,1 month TEC,N/A,,,,Direct Entity,,Georgia.Sharman@procorre.com,Georgia Sharman,"5 June, 2026",Inactive,https://docs.google.com/spreadsheets/d/1zPr8_qJhWl2S6p-wLtJteJt0-Z5Glqmi9mWlJ2w2pBY/edit,"June 10, 2026",Tier 0
North America,Canada,Syndesus,David,,Expat EOR,,,,,,,USD 600 (originally USD 750),N/A,,N/A,,,SYN,Direct Entity,,angie@syndesus.com,Angie Bunn,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1INU2PqHFQQ2VgLBerVSccxhoBL77coGX1pVPomYn8IY/edit,"July 15, 2026",
North America,Canada,Rivermate,David,,Local EOR ,,,,,,,USD 800,USD 600,1 month,N/A,,2.5% FX charge on Total Invoice ,SER,Direct Entity,,karina.guevara@serviapgroup.com,Karina Guevara,"31 December, 2026",Pricing in Contract,,,
North America,Canada,Native Teams,Jasmine,Poor Quality Vendor,Local EOR ,,,,,,,"• EUR 79 up to €1,500 processed per month
• EUR 129 up to €5,500 processed per month
• EUR 219 over €5,500 processed per month",N/A,N/A,N/A,N/A,,NTV,Direct Entity,Signed MSA,deren@nteams.com,Deren Kankurt,"31 December, 2026",Pricing in Contract,,,Tier 2
North America,Canada,Horizons ,David,Backup Vendor,Local EOR ,,,,,,,USD 399,N/A,1 month,N/A,N/A,,HRZ,Uses Vendor,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,"July 15, 2026",
North America,Canada,Tarmack,David,,Local EOR ,,,,,,,"• USD 199 (1 to 5) 
• USD 179 (6 to 10) 
• USD 159 (11+)",TBC,TBC,TBC,TBC,,5/19/2026,,,"manish.j@tarmack.com,
ashish.sidhu@tarmack.com",Manish Jajodia,"4 June, 2027",Active,https://docs.google.com/spreadsheets/d/1XNZNgANvT6LbL8gQ2Lle69EDiIqrEXD1dDB_M3qf-bQ/edit,"June 10, 2026",
North America,Canada,Third Sail,David,Preferred Vendor,Local EOR ,USD 550 - 650,USD 500 - 650,1 month TEC,N/A,N/A,,USD 400,USD 500 for engagements under 6 months,1 month TEC,N/A,N/A,,THR,Direct Entity,,julien@thirdsail.com,Julien Roger ,"30 December, 2026",Active,https://docs.google.com/spreadsheets/d/16tO_ZU5BRueqQ7WZOjtarJXCelHrfqctFKd7adH0l18/edit,6/4/2026,
North America,Canada,Third Sail,David,Preferred Vendor,Expat EOR,USD 650 - 750,USD 500 - 750,1 month TEC,N/A,N/A,,USD 400,USD 500 for engagements under 6 months,1 month TEC,N/A,N/A,,THR,Direct Entity,,julien@thirdsail.com,Julien Roger ,"30 December, 2026",Active,https://docs.google.com/spreadsheets/d/16tO_ZU5BRueqQ7WZOjtarJXCelHrfqctFKd7adH0l18/edit,6/4/2026,
North America,Canada,Enterprise Workforce Solutions,David,Backup Vendor,Local EOR ,,,,,,,USD 400,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,"July 15, 2026",
North America,Canada,Enterprise Workforce Solutions,David,Backup Vendor,Expat EOR,,,,,,,USD 400,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,"July 15, 2026",
